"Submitted","HTML Block","第一部分：基本資料","1.單位名稱","2.單位總員工人數","3.工程領域","點選說明","其他，請說明","第二部分：工程與科技領域從業人員統計","1.	員工人數：（請依人員之專長領域填寫對應欄位之員工人數）","男性專任人數","土木營建領域專長 男性 專任 人數","建築、都市規劃領域專長 男性 專任 人數","電子電機領域專長 男性 專任 人數","資訊通訊領域專長 男性 專任 人數","化工材料領域專長 男性 專任 人數","生技醫工領域專長 男性 專任 人數","環工綠能領域專長 男性 專任 人數","機械領域專長 男性 專任 人數","其他領域專長 男性 專任 人數","非工程與科技領域專長 男性 專任 人數","女性專任人數","土木營建領域專長 女性 專任 人數","建築、都市規劃領域專長 女性 專任 人數","電子電機領域專長 女性 專任 人數","資訊通訊領域專長 女性 專任 人數","化工材料領域專長 女性 專任 人數","生技醫工領域專長 女性 專任 人數","環工綠能領域專長 女性 專任 人數","機械領域專長 女性 專任 人數","其他領域專長 女性 專任 人數","非工程與科技領域專長 女性 專任 人數","2.各領域專長人員","(1) 年資分布情形：","土木營建領域專長 男性 人數","服務年資1~5年","服務年資6~10年","服務年資11~15年","服務年資16~20年","服務年資21~25年","服務年資25年以上","土木營建領域專長 女性 人數","建築、都市規劃部門 - 男性","建築、都市規劃部門 - 女性","電子電機部門 - 男性","電子電機部門 - 女性","資訊通訊部門 - 男性","資訊通訊部門 - 女性","化工材料部門 - 男性","化工材料部門 - 女性","生技醫工部門 - 男性","生技醫工部門 - 女性","環工綠能部門 - 男性","環工綠能部門 - 女性","機械部門 - 男性","機械部門 - 女性","其他部門 - 男性","其他部門 - 女性","(2) 管理職人員年資分布情形：","土木營建領域專長 男性 管理職 人數","管理職年資1~5年","管理職年資6~10年","管理職年資11~15年","管理職年資16~20年","管理職年資21~25年","管理職年資25年以上","土木營建領域專長 女性 管理職 人數","建築、都市規劃領域專長 男性 管理職 人數","建築、都市規劃領域專長 女性 管理職 人數","電子電機領域專長 男性 管理職 人數","電子電機領域專長 女性 管理職 人數","資訊通訊領域專長 男性 管理職 人數","資訊通訊領域專長 女性 管理職 人數","化工材料領域專長 男性 管理職 人數","化工材料領域專長 女性 管理職 人數","生技醫工領域專長 男性 管理職 人數","生技醫工領域專長 女性 管理職 人數","環工綠能領域專長 男性 管理職 人數","環工綠能領域專長 女性 管理職 人數","機械領域專長 男性 管理職 人數","機械領域專長 女性 管理職 人數","其他領域專長 男性 管理職 人數","其他領域專長 女性 管理職 人數","(3)各階管理職人員人數：","初階管理職","土木營建領域專長 男性 初階管理職 人數","35歲以下","36-45歲","46-55歲","56-65歲","66歲以上","土木營建領域專長 女性 初階管理職 人數","建築、都市規劃領域專長 男性 初階管理職 人數","建築、都市規劃領域專長 女性 初階管理職 人數","65歲以上","電子電機領域專長 男性 初階管理職 人數","電子電機領域專長 女性 初階管理職 人數","資訊通訊領域專長 男性 初階管理職 人數","資訊通訊領域專長 女性 初階管理職 人數","化工材料領域專長 男性 初階管理職 人數","化工材料領域專長 女性 初階管理職 人數","生技醫工領域專長 男性 初階管理職 人數","生技醫工領域專長 女性 初階管理職 人數","環工綠能領域專長 男性 初階管理職 人數","環工綠能領域專長 女性 初階管理職 人數","機械領域專長 男性 初階管理職 人數","機械領域專長 女性 初階管理職 人數","其他領域專長 男性 初階管理職 人數","其他領域專長 女性 初階管理職 人數","中階管理職","土木營建領域專長 男性 中階管理職 人數","土木營建領域專長 女性 中階管理職 人數","建築、都市規劃領域專長 男性 中階管理職 人數","建築、都市規劃領域專長 女性 中階管理職 人數","電子電機領域專長 男性 中階管理職 人數","電子電機領域專長 女性 中階管理職 人數","資訊通訊領域專長 男性 中階管理職 人數","資訊通訊領域專長 女性 中階管理職 人數","化工材料領域專長 男性 中階管理職 人數","化工材料領域專長 女性 中階管理職 人數","生技醫工領域專長 男性 中階管理職 人數","生技醫工領域專長 女性 中階管理職 人數","環工綠能領域專長 男性 中階管理職 人數","環工綠能領域專長 女性 中階管理職 人數","機械領域專長 男性 中階管理職 人數","機械領域專長 女性 中階管理職 人數","其他領域專長 男性 中階管理職 人數","其他領域專長 女性 中階管理職 人數","高階管理職","土木營建領域專長 男性 高階管理職 人數","土木營建領域專長 女性 高階管理職 人數","建築、都市規劃領域專長 男性 高階管理職 人數","建築、都市規劃領域專長 女性 高階管理職 人數","電子電機領域專長 男性 高階管理職 人數","45-55歲","電子電機領域專長 女性 高階管理職 人數","資訊通訊領域專長 男性 高階管理職 人數","資訊通訊領域專長 女性 高階管理職 人數","化工材料領域專長 男性 高階管理職 人數","化工材料領域專長 女性 高階管理職 人數","生技醫工領域專長 男性 高階管理職 人數","生技醫工領域專長 女性 高階管理職 人數","環工綠能領域專長 男性 高階管理職 人數","環工綠能領域專長 女性 高階管理職 人數","機械領域專長 男性 高階管理職 人數","機械領域專長 女性 高階管理職 人數","其他領域專長 男性 高階管理職 人數","其他領域專長 女性 高階管理職 人數","(4)各階專業職級人員人數：","初階專業職級","土木營建領域專長 男性 初階專業職級 人數","土木營建領域專長 女性 初階專業職級 人數","建築、都市規劃領域專長 男性 初階專業職級 人數","建築、都市規劃領域專長 女性 初階專業職級 人數","電子電機領域專長 男性 初階專業職級 人數","電子電機領域專長 女性 初階專業職級 人數","資訊通訊領域專長 男性 初階專業職級 人數","資訊通訊領域專長 女性 初階專業職級 人數","化工材料領域專長 男性 初階專業職級 人數","化工材料領域專長 女性 初階專業職級 人數","生技醫工領域專長 男性 初階專業職級 人數","生技醫工領域專長 女性 初階專業職級 人數","環工綠能領域專長 男性 初階專業職級 人數","環工綠能領域專長 女性 初階專業職級 人數","機械領域專長 男性 初階專業職級 人數","機械領域專長 女性 初階專業職級 人數","其他領域專長 男性 初階專業職級 人數","其他領域專長 女性 初階專業職級 人數","中階專業職級","土木營建領域專長 男性 中階專業職級 人數","土木營建領域專長 女性 中階專業職級 人數","建築、都市規劃領域專長 男性 中階專業職級 人數","建築、都市規劃領域專長 女性 中階專業職級 人數","電子電機領域專長 男性 中階專業職級 人數","電子電機領域專長 女性 中階專業職級 人數","資訊通訊領域專長 男性 中階專業職級 人數","資訊通訊領域專長 女性 中階專業職級 人數","化工材料領域專長 男性 中階專業職級 人數","36歲以下","化工材料領域專長 女性 中階專業職級 人數","生技醫工領域專長 男性 中階專業職級 人數","生技醫工領域專長 女性 中階專業職級 人數","環工綠能領域專長 男性 中階專業職級 人數","環工綠能領域專長 女性 中階專業職級 人數","機械領域專長 男性 中階專業職級 人數","機械領域專長 女性 中階專業職級 人數","其他領域專長 男性 中階專業職級 人數","其他領域專長 女性 中階專業職級 人數","高階專業職級","土木營建領域專長 男性 高階專業職級 人數","土木營建領域專長 女性 高階專業職級 人數","建築、都市規劃領域專長 男性 高階專業職級 人數","建築、都市規劃領域專長 女性 高階專業職級 人數","電子電機領域專長 男性 高階專業職級 人數","電子電機領域專長 女性 高階專業職級 人數","資訊通訊領域專長 男性 高階專業職級 人數","資訊通訊領域專長 女性 高階專業職級 人數","化工材料領域專長 男性 高階專業職級 人數","化工材料領域專長 女性 高階專業職級 人數","生技醫工領域專長 男性 高階專業職級 人數","生技醫工領域專長 女性 高階專業職級 人數","環工綠能領域專長 男性 高階專業職級 人數","環工綠能領域專長 女性 高階專業職級 人數","機械領域專長 男性 高階專業職級 人數","機械領域專長 女性 高階專業職級 人數","其他領域專長 男性 高階專業職級 人數","其他領域專長 女性 高階專業職級 人數","第三部分：性別相關福利措施，以及轉入工程與科技領域之案例","1. 過去三年間貴單位獲准之育嬰留職停薪人次","男性","106年 請假人次","107年  請假人次","108年 請假人次","女性","106年  請假人次","108年  請假人次","2. 過去三年間貴單位獲准之家庭照謢假人次","3.請勾選貴單位已實施之福利措施，","可複選：","請問哺集乳室共設有幾處？","請說明其他 :","4.貴單位是否有非工程與科技領域背景人員轉任工程職務之事例：","請選擇:","(a) 請問此轉任情況是否是少數個案？","(b) 貴單位是否有鼓勵轉任之機制？若有請說明","5.該少數個案事例：（若有多人請分別填寫）","第一人","1-1. 該轉任是否於貴單位服務期間發生？","1-2 現任工程職務為：","1-3	原專長領域為：","1-4 此轉任事例已於現職服務幾年?","是否有下一位?","第二人","2-1. 該轉任是否於貴單位服務期間發生？","2-2 現任工程職務為：","2-3	原專長領域為：","2-4 此轉任事例已於現職服務幾年?","是否有下一位??","第三人","3-1. 該轉任是否於貴單位服務期間發生？","3-2 現任工程職務為：","3-3	原專長領域為：","3-4 此轉任事例已於現職服務幾年?","是否有下一位??..","第四人","4-1. 該轉任是否於貴單位服務期間發生？","4-2 現任工程職務為：","4-3	原專長領域為：","4-4 此轉任事例已於現職服務幾年?","Submitted Login","Submitted From",
"2019-10-15 07:34:21 +00:00","","","經濟部水利署第九河川局","76","資訊通訊,其他","","土木工程、水利工程","","","","","","","1","","","","","32","23","","","","","0","","","","","6","14","","","","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","1","0","","","哺集乳室,女性生理假（不扣薪）","1","","","有","是，請跳答第（四）題","","","","是","工程員","地政","2個月","否","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-14 10:42:59 +00:00","","","中興工程顧問股份有限公司","1500","土木營建,建築、都市規劃,電子電機,環工綠能,機械","","","","","","676","146","100","","","","78","36","","69","","130","88","12","","","","27","8","","131","","","","211","112","67","76","50","160","","","","","","","","","","","","","","","","","","","","1","2","4","13","8","36","","","","","","","","","","","","","","","","","","","","","0","6","29","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","5","3","","5","7","","","哺集乳室,女性生理假（不扣薪）,托兒服務（指設有收托二歲至六歲兒童之服務機構）,（因照顧家庭因素可申請）彈性工時","1處","","","否，問卷結束","","","","","","","","","否","","","","","","","","","","","","","","","","","","","59.124.10.43",
"2019-10-14 10:10:16 +00:00","","","工業技術研究院","6168","電子電機,資訊通訊,化工材料,生技醫工,環工綠能,機械,其他","","量測標準及檢測技術","","","","","","472","925","583","195","538","597","198","428","","","","118","217","246","158","124","79","57","596","","","","258","57","78","39","15","25","","","","","","","","","","","","","","","","","","","","18","11","10","13","4","0","","","","","","","","","","","","","","","","","","","","","3","22","11","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","15","4","","35","32","","","哺集乳室,Third Choice托嬰服務（指設有收托二歲以下兒童之服務機構）,托兒服務（指設有收托二歲至六歲兒童之服務機構）,其他","19","半薪安胎育兒假，60個工作天。","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","140.96.90.13",
"2019-10-14 06:37:00 +00:00","","","經濟部水利署第六河川局","76","土木營建,其他","","水利工程","","","","40","","","","","","","","20","4","","4","","","","","","","","1","7","","","","2","7","7","2","12","10","","","","","","","","","","","","","","","","","","","","0","0","0","0","2","3","","","","","","","","","","","","","","","","","","","","","0","0","3","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","","0","0","","","哺集乳室,女性生理假（不扣薪）,托兒服務（指設有收托二歲至六歲兒童之服務機構）,育兒津貼,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-14 06:33:55 +00:00","","","經濟部水利署第二河川局","72","土木營建","","","","","","34","","","","","","","","","5","","8","","","","","","","","","7","","","","5","5","9","0","2","5","","","","","","","","","","","","","","","","","","","","2","3","1","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","1","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","3","2","","","哺集乳室,女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-14 02:51:04 +00:00","","","經濟部水利署第五河川局","73","土木營建","","","","","","57","","","","","","","","","3","","4","","","","","","","","","9","","","","8","10","9","6","10","14","","","","","","","","","","","","","","","","","","","","0","0","0","2","1","2","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","1","","","哺集乳室,女性生理假（不扣薪）,育兒津貼,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-14 02:43:47 +00:00","","","經濟部水利署南區水資源局","151","土木營建,電子電機,資訊通訊,環工綠能,機械,其他","","地質及測量製圖","","","","83","","7","2","","","1","8","4","13","","13","","0","0","","","0","1","0","19","","","","15","17","14","8","28","1","","","","","","","","","","","","","","","","","","","","2","4","5","1","","","","","","","","","","","","","","","","","","","","","","","11","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","3","17","","","哺集乳室,女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","5","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-14 01:56:00 +00:00","","","經濟部水利署臺北水源特定區管理局","54","土木營建,建築、都市規劃","","","","","","35","1","","","","","","","","1","","8","0","","","","","","","","9","","","","4","11","1","5","5","9","","","","","","","","","","","","","","","","","","","","","","","1","1","4","","","","","","","","","","","","","","","","","","","","","14","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","10","1","","","哺集乳室,女性生理假（不扣薪）","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
"2019-10-09 12:33:46 +00:00","","","台灣世曦工程顧問股份有限公司","1763","土木營建,建築、都市規劃,電子電機,資訊通訊,環工綠能,機械","","","","","","610","400","190","210","","","118","146","","30","","64","122","12","74","","","40","8","","100","","","","26","18","220","188","102","56","","","","","","","","","","","","","","","","","","","","178","24","8","0","0","0","","","","","","","","","","","","","","","","","","","","","2","22","50","30","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","2","","6","4","","","哺集乳室,女性生理假（不扣薪）,育兒津貼,（因照顧家庭因素可申請）彈性工時","","","","有","是，請跳答第（四）題","","","","是","土木營造","行政、財會","14","否","","","","","","","","","","","","","","","","","","","60.248.152.141",
"2019-10-09 10:17:08 +00:00","","","經濟部水利署第七河川局","95","土木營建","","","","","","52","","","","","","","","","4","","11","","","","","","","","","5","","","","3","10","8","10","13","8","","","","","","","","","","","","","","","","","","","","0","0","0","0","3","3","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","0","0","","","哺集乳室,女性生理假（不扣薪）,（因照顧家庭因素可申請）彈性工時","1","","","否，問卷結束","","","","","","","","","","","","","","","","","","","","","","","","","","","","210.69.128.66",
