最高學歷,博士,博士,碩士,碩士,大學/大專,大學/大專,專科,專科,高職,高職,小計
性別,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
福利措施,,,,,,,,,,,
其他,0.1%,0.1%,0.4%,0.7%,0.4%,0.4%,0.1%,0.1%,-,-,2.5%
合適家庭共同參加之聯誼時間與方式,0.2%,0.4%,0.9%,2.0%,0.4%,1.3%,0.1%,0.1%,-,-,5.4%
因懷孕或育兒可選擇（非被迫）職務內容之調整,0.2%,-,2.4%,1.3%,1.6%,0.4%,-,-,-,-,5.9%
彈性工作地點 (例如可部分時間在家工作),1.0%,1.3%,4.4%,5.6%,1.8%,2.8%,0.2%,0.3%,0.1%,-,17.5%
彈性工時 (例如可以只上午班或下午班),1.2%,1.7%,5.4%,7.0%,2.5%,3.4%,0.3%,0.4%,0.1%,-,22.1%
托兒服務（指於單位內部設有收托二歲至六歲兒童之服務機構）,0.2%,0.2%,1.5%,1.7%,0.4%,0.6%,-,0.1%,-,-,4.8%
托嬰服務（指於單位內部設有收托二歲以下兒童之服務機構）,0.2%,0.1%,2.1%,1.3%,0.7%,0.6%,0.1%,0.1%,-,-,5.1%
無，個人不需要這些福利,0.3%,1.2%,1.6%,3.7%,0.7%,2.6%,0.2%,0.8%,-,-,11.1%
育兒津貼,0.1%,0.1%,1.5%,2.1%,0.8%,1.0%,0.1%,0.1%,-,-,5.9%
育嬰留職停薪後可確保回復原職,0.1%,0.1%,3.0%,1.8%,1.9%,0.5%,0.1%,0.1%,-,-,7.6%
設備完善的哺集乳室,0.1%,-,0.5%,0.1%,0.3%,-,-,-,-,-,0.9%
合計,4.1%,6.6%,25.2%,31.1%,12.1%,16.1%,1.2%,3.0%,0.3%,0.2%,100.0%
