3. 最高學歷,其他（請說明）,博士,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職,All
1. 性別：,女性,其他,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
11.	您對於現任職務之五年後職涯發展的預期為何？請勾選最有可能的一項。,,,,,,,,,,,,,
同等級職務之部門轉換,0,0,2,7,18,38,2,6,28,62,0,0,163
在同一職務上,0,1,24,37,56,80,13,19,125,129,2,2,488
由管理職務轉換為非管理職務,0,0,2,3,1,5,1,1,1,7,0,0,21
由非管理職務轉換為管理職務,1,0,6,6,17,18,0,3,43,58,1,0,153
管理職務範圍逐漸擴大，例如受管理人員數增加,0,0,10,22,10,29,0,4,27,70,0,0,172
繼續擔任非管理職務但從事的規模擴大，例如專案金額提高,0,0,6,4,30,24,0,2,55,56,0,0,177
轉換領域(轉至非工程與科技領域或轉入工程與科技領域)   (請說明原因),0,0,1,3,7,7,0,0,10,6,0,0,34
離職 (請說明原因),0,0,6,12,8,21,1,10,17,23,1,2,101
All,1,1,57,94,147,222,17,45,306,411,4,4,1309
