3. 最高學歷,其他（請說明）,博士,博士,博士,大學/大專,大學/大專,專科,專科,碩士,碩士,高職,高職,All
1. 性別：,女性,其他,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
請問您所預期的職涯發展，需要哪些配合因素來達成？,,,,,,,,,,,,,
上司/長官青睞與同事之人際關係,0,1,26,37,48,71,5,12,113,191,1,0,505
個人之專業表現,1,0,46,75,95,156,10,25,212,300,2,2,924
公司/機構制度穩定，只要沒有犯錯自然可以達成,0,0,2,9,23,40,1,6,44,70,1,2,198
其他，請說明,0,0,3,1,1,8,0,1,7,6,0,0,27
取得更高學歷、證照或其他資格,0,0,2,9,44,30,8,8,44,38,0,0,183
自己主動爭取,0,0,11,16,25,39,1,4,52,94,2,0,244
與客戶關係,1,0,6,13,10,25,1,4,32,30,0,0,122
還不清楚,0,0,1,2,11,11,2,5,18,15,0,1,66
All,2,1,97,162,257,380,28,65,522,744,6,5,2269
