最高學歷,博士,博士,碩士,碩士,大學/大專,大學/大專,專科,專科,高職,高職,小計
性別,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
現任職務之五年後職涯發展的預期,,,,,,,,,,,
同等級職務之部門轉換,0.2%,0.5%,2.1%,4.7%,1.4%,2.9%,0.2%,0.5%,-,-,12.5%
在同一職務上,1.8%,2.8%,9.6%,9.9%,4.3%,6.1%,1.0%,1.5%,0.2%,0.2%,37.3%
由管理職務轉換為非管理職務,0.2%,0.2%,0.1%,0.5%,0.1%,0.4%,0.1%,0.1%,-,-,1.6%
由非管理職務轉換為管理職務,0.5%,0.5%,3.3%,4.4%,1.3%,1.4%,-,0.2%,0.1%,-,11.6%
管理職務範圍逐漸擴大，例如受管理人員數增加,0.8%,1.7%,2.1%,5.4%,0.8%,2.2%,-,0.3%,-,-,13.2%
繼續擔任非管理職務但從事的規模擴大，例如專案金額提高,0.5%,0.3%,4.2%,4.3%,2.3%,1.8%,-,0.2%,-,-,13.5%
轉換領域(轉至非工程與科技領域或轉入工程與科技領域),0.1%,0.2%,0.8%,0.5%,0.5%,0.5%,-,-,-,-,2.6%
離職,0.5%,0.9%,1.3%,1.8%,0.6%,1.6%,0.1%,0.8%,0.1%,0.2%,7.7%
合計,4.4%,7.2%,23.4%,31.4%,11.2%,17.0%,1.3%,3.4%,0.3%,0.3%,100.0%
