最高學歷,博士,博士,碩士,碩士,大學/大專,大學/大專,專科,專科,高職,高職,小計
性別,女性,男性,女性,男性,女性,男性,女性,男性,女性,男性,
預期的職涯發展配合因素,,,,,,,,,,,
上司/長官青睞與同事之人際關係,1.1%,1.6%,5.0%,8.4%,2.1%,3.1%,0.2%,0.5%,-,-,22.2%
個人之專業表現,2.0%,3.3%,9.4%,13.2%,4.2%,6.9%,0.4%,1.1%,0.1%,0.1%,40.7%
公司/機構制度穩定，只要沒有犯錯自然可以達成,0.1%,0.4%,1.9%,3.1%,1.0%,1.8%,-,0.3%,-,0.1%,8.7%
其他，請說明,0.1%,-,0.3%,0.3%,-,0.4%,-,-,-,-,1.2%
取得更高學歷、證照或其他資格,0.1%,0.4%,1.9%,1.7%,1.9%,1.3%,0.4%,0.4%,-,-,8.1%
自己主動爭取,0.5%,0.7%,2.3%,4.1%,1.1%,1.7%,-,0.2%,0.1%,-,10.8%
與客戶關係,0.3%,0.6%,1.4%,1.3%,0.4%,1.1%,-,0.2%,-,-,5.3%
還不清楚,-,0.1%,0.8%,0.7%,0.5%,0.5%,0.1%,0.2%,-,-,2.9%
合計,4.3%,7.1%,23.0%,32.8%,11.3%,16.8%,1.2%,2.9%,0.3%,0.2%,100.0%
